BaseID,Name,combat_type,alignment,role,categories,ability_classes,image,ship,era,unit_relic_all,unit_relic_guilds_100,unit_relic_kyber_1000
CT5555,"CT-5555 ""Fives""",1,Light Side,Tank,Leader|501st|Clone Trooper|Galactic Republic,Counter|Bonus Attack|Assist|Taunt|Speed Down|+Speed|Gain Turn Meter|Revive|+Defense|Protection Over Time|Anti-Revive,https://game-assets.swgoh.gg/textures/tex.charui_trooperclone_fives.png,UMBARANSTARFIGHTER,Legacy,6,7,8
CT7567,"CT-7567 ""Rex""",1,Light Side,Support,Leader|501st|Clone Trooper|Galactic Republic,Counter|+Max Health|Reduce Cooldowns|Critical Hit Immunity|Tenacity Up|Remove Turn Meter|Dispel|Potency Up|+Speed|Gain Turn Meter,https://game-assets.swgoh.gg/textures/tex.charui_trooperclone_rex.png,ARC170REX,Legacy,7,7,7
DAKA,Old Daka,1,Dark Side,Healer,Leader|Nightsister,Counter|Defense Up|Heal|Stun|Gain Turn Meter|Offense Up|Revive|+Defense,https://game-assets.swgoh.gg/textures/tex.charui_daka.png,,Legacy,4,6,7
DARKREY,Rey (Dark Side Vision),1,Dark Side,Attacker,First Order|Sith,Bonus Turn|Remove Turn Meter|Gain Turn Meter|Counter|Taunt|Dispel|+Speed|Retribution|Revive|Advantage|Anti-Revive|AoE|Assist|Shock|Shield Up|Bonus Attack|Fear|Protection Up|Reset Cooldown|Retaliate|Speed Up|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_darkrey.png,,Conquest,7,8,9
DARKTROOPER,Dark Trooper,1,Dark Side,Attacker,Droid|Empire|Imperial Remnant|Imperial Trooper,AoE|Dispel|Gain Turn Meter|Offense Up|Advantage|Revive|Anti-Revive,https://game-assets.swgoh.gg/textures/tex.charui_darktrooper.png,,Legacy,5,7,7
DARTHBANE,Darth Bane,1,Dark Side,Attacker,Leader|Sith,Bonus Turn|Remove Turn Meter|Gain Turn Meter|Evasion Up|+Defense|Health Steal Up|Counter|Defense Up|Taunt|Dispel|+Speed|Defense Penetration Up|Revive|Anti-Revive|Reduce Cooldowns|AoE|Healing Immunity|+Evasion|Daze|Ability Block|+Max Health|Health Up|Reset Cooldown|Stun|Speed Up|Offense Up,https://game-assets.swgoh.gg/textures/tex.charui_darthbane.png,,Conquest,7,9,10
DARTHJARJAR,Darth Jar Jar,1,Dark Side,Support,Leader|Gungan|Sith,Bonus Turn|Heal|Frenzy|Plasma Residue|Damage Immunity|+Defense|Counter|Foresight|Defense Up|Blind|Taunt|Deathmark|Dispel|+Speed|Marked|AoE|Healing Immunity|Shock|Daze|Ability Block|Tenacity Down|+Max Health|Fear|Stun|Speed Up|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_darthjarjar.png,,Myths & Legends,,,
DARTHMALAK,Darth Malak,1,Dark Side,Tank,Sith|Sith Empire,Bonus Turn|Damage Over Time|Counter|Fear|Healing Immunity|Reset Cooldown|Taunt|Dispel|Shock|Stun|Gain Turn Meter|Tenacity Down,https://game-assets.swgoh.gg/textures/tex.charui_darthmalak.png,,Legacy,8,9,9
DARTHMALGUS,Darth Malgus,1,Dark Side,Tank,Leader|Sith|Sith Empire,Bonus Turn|Critical Chance Up|Gain Turn Meter|+Tenacity|Critical Damage Up|Counter|Blind|Taunt|Dispel|+Speed|Doubt|Reduce Cooldowns|AoE|Expose|Healing Immunity|Shock|Ability Block|+Max Health|Bonus Attack|Fear|Protection Up|Stun|+Critical,https://game-assets.swgoh.gg/textures/tex.charui_darthmalgus.png,FURYCLASSINTERCEPTOR,Conquest,7,9,9
DARTHNIHILUS,Darth Nihilus,1,Dark Side,Support,Leader|Sith,Counter|+Max Health|Damage Over Time|Reduce Cooldowns|AoE|Dispel|Gain Turn Meter|Instant Defeat|Revive|Anti-Revive,https://game-assets.swgoh.gg/textures/tex.charui_nihilus.png,,Legacy,5,7,7
DARTHREVAN,Darth Revan,1,Dark Side,Attacker,Leader|Sith|Sith Empire|Fleet Commander,Reduce Cooldowns|Bonus Attack|Fear|Foresight|AoE|Assist|Deathmark|Dispel|Shock|+Speed|Gain Turn Meter|Stun|Ability Block|Buff Immunity|+Critical,https://game-assets.swgoh.gg/textures/tex.charui_sithrevan.png,CAPITALLEVIATHAN,Legacy,7,10,10
DARTHSIDIOUS,Darth Sidious,1,Dark Side,Attacker,Leader|Sith,Counter|Damage Over Time|AoE|Expose|Healing Immunity|+Speed|Gain Turn Meter|+Critical,https://game-assets.swgoh.gg/textures/tex.charui_sidious.png,,Legacy,7,7,7
DARTHSION,Darth Sion,1,Dark Side,Tank,Sith,AoE|Taunt|Dispel|Gain Turn Meter|Revive,https://game-assets.swgoh.gg/textures/tex.charui_sion.png,,Legacy,5,6,7
DARTHTALON,Darth Talon,1,Dark Side,Attacker,Sith,Counter|AoE|Taunt|Dispel|Frenzy|+Speed|Gain Turn Meter|Ability Block|Buff Immunity|Retribution|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_darthtalon.png,,Legacy,5,6,7
DARTHTRAYA,Darth Traya,1,Dark Side,Support,Leader|Sith,Counter|+Max Health|Reduce Cooldowns|Protection Up|Healing Immunity|Reset Cooldown|Dispel|Daze|Ability Block|Critical Damage Up|Tenacity Down|Health Steal Up,https://game-assets.swgoh.gg/textures/tex.charui_traya.png,,Legacy,5,7,7
DASHRENDAR,Dash Rendar,1,Light Side,Support,Leader|Mercenary|Scoundrel|Smuggler,+Max Health|Prepared|AoE|Assist|Defense Down|Critical Damage Down|Offense Up|Dispel|Stun|+Speed|Daze|Gain Turn Meter|Critical Damage Up|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_dashrendar.png,OUTRIDER,Legacy,7,7,7
DATHCHA,Dathcha,1,Light Side,Support,Leader|Jawa,AoE|Defense Down|Remove Turn Meter|Stun|Ability Block|Stealth|+Defense,https://game-assets.swgoh.gg/textures/tex.charui_jawa_dathcha.png,,Legacy,3,5,6
DEATHTROOPER,Death Trooper,1,Dark Side,Attacker,Empire|Imperial Remnant|Imperial Trooper,Bonus Attack|AoE|Healing Immunity|Deathmark|Dispel|Stun|Daze|Gain Turn Meter|Revive|Anti-Revive,https://game-assets.swgoh.gg/textures/tex.charui_trooperdeath.png,TIEREAPER,Legacy,5,7,7
DEATHTROOPERPERIDEA,Death Trooper (Peridea),1,Dark Side,Attacker,Imperial Remnant|Nightsister,Bonus Turn|Remove Turn Meter|Critical Chance Up|Gain Turn Meter|Blight|Counter|Dispel|+Speed|Armor Shred|Offense Down|AoE|Shock|Daze|Instant Defeat|Tenacity Down|Damage Over Time|Reset Cooldown|Speed Down|Stun|Speed Up|Offense Up,https://game-assets.swgoh.gg/textures/tex.charui_deathtrooperperidea.png,,Legacy,7,9,9
DEDRAMEERO,Dedra Meero,1,Dark Side,Support,Empire|ISB,Bonus Turn|Torture|Gain Turn Meter|Health Steal Up|Counter|Foresight|Taunt|Dispel|Potency Up|Retribution|AoE|Assist|Expose|Tenacity Up|Protection Up|Retaliate|Undermine|Speed Up|Offense Up,https://game-assets.swgoh.gg/textures/tex.charui_dedrameero.png,,Andor,2,6,7
DENGAR,Dengar,1,Dark Side,Attacker,Leader|Bounty Hunter|Mercenary|Scoundrel,Counter|Damage Over Time|Tenacity Up|AoE|Assist|Speed Down|+Speed|Gain Turn Meter|Stun|Tenacity Down|Thermal Detonator|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_dengar.png,PUNISHINGONE,Legacy,5,7,8
DEPABILLABA,Depa Billaba,1,Light Side,Attacker,Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,Vulnerable|Remove Turn Meter|Gain Turn Meter|Critical Damage Up|Damage Immunity|Health Steal Up|Counter|Foresight|Dispel|+Speed|Defense Penetration Up|Revive|Advantage|Anti-Revive|AoE|Assist|Healing Immunity|Protection Up|Speed Up,https://game-assets.swgoh.gg/textures/tex.charui_depabillaba.png,,Revenge of the Sith,5,9,9
DIRECTORKRENNIC,Director Krennic,1,Dark Side,Support,Leader|Empire|ISB,Counter|Vulnerable|AoE|Blind|Assist|Expose|Stagger|Dispel|Target Lock|Speed Down|Stun|Taunt|Ability Block|Buff Immunity|Speed Up|+Critical|Revive|Tenacity Down,https://game-assets.swgoh.gg/textures/tex.charui_krennic.png,,Legacy,4,5,6
DISGUISEDCLONETROOPER,Disguised Clone Trooper,1,Dark Side,Support,Clone Trooper|Empire|Order 66 Raid,Bonus Turn|Counter|Damage Over Time|Tenacity Up|Offense Down|AoE|Healing Immunity|Dispel|Stun|Relic Scaling|Ability Block|Retribution|Advantage|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_disguisedclonetrooper.png,,Revenge of the Sith,5,9,9
DOCTORAPHRA,Doctor Aphra,1,Dark Side,Support,Leader|Mercenary|Scoundrel,Gain Turn Meter|+Tenacity|Critical Damage Up|Damage Immunity|Counter|Stagger|Potency Up|+Speed|Armor Shred|Doubt|Buff Immunity|Revive|Reduce Cooldowns|Summon|AoE|Assist|Expose|Healing Immunity|Target Lock|Ability Block|Accuracy Down|+Max Health|Damage Over Time|Protection Up|Speed Down|Breach|Stun|Offense Up,https://game-assets.swgoh.gg/textures/tex.charui_doctoraphra.png,,Legacy,6,7,7
DROIDEKA,Droideka,1,Dark Side,Attacker,Droid|Separatist,Counter|Tenacity Up|Assist|Heal|Target Lock|Dispel|Stun|+Speed|Daze|Gain Turn Meter|Marked|Revive|Damage Immunity,https://game-assets.swgoh.gg/textures/tex.charui_droideka.png,,Legacy,4,5,6
EETHKOTH,Eeth Koth,1,Light Side,Support,Leader|Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,Defense Down|Stun|Ability Block|Anti-Droid|+Defense,https://game-assets.swgoh.gg/textures/tex.charui_eethkoth.png,,Legacy,5,5,5
EIGHTHBROTHER,Eighth Brother,1,Dark Side,Attacker,Leader|Empire|Inquisitorius|Unaligned Force User,Vulnerable|Gain Turn Meter|Counter|Critical Hit Immunity|Foresight|Blind|Taunt|Dispel|Potency Up|Armor Shred|Buff Immunity|Accuracy Up|AoE|Healing Immunity|Purge|Ability Block|Accuracy Down|+Max Health|Burning|Speed Down|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_eighthbrother.png,,Legacy,5,7,8
EMBO,Embo,1,Dark Side,Attacker,Leader|Bounty Hunter|Hutt Cartel|Mercenary|Scoundrel,Bonus Turn|Counter|Foresight|Dispel|Gain Turn Meter|Offense Up,https://game-assets.swgoh.gg/textures/tex.charui_embo.png,,Legacy,5,7,7
EMPERORPALPATINE,Emperor Palpatine,1,Dark Side,Support,Leader|Empire|Sith,Bonus Turn|+Max Health|Counter|AoE|+Evasion|Dispel|Shock|Stun|Gain Turn Meter|Offense Up|Health Steal Up,https://game-assets.swgoh.gg/textures/tex.charui_palpatineemperor.png,EMPERORSSHUTTLE,Legacy,7,7,7
ENFYSNEST,Enfys Nest,1,Light Side,Attacker,Pirate|Scoundrel|Smuggler|Order 66 Raid,Counter|Stealth|Tenacity Up|Foresight|AoE|Expose|Remove Turn Meter|Reset Cooldown|Taunt|Dispel|Stun|Profit|Daze|Gain Turn Meter|Buff Immunity|Damage Immunity|Heal Over Time,https://game-assets.swgoh.gg/textures/tex.charui_enfys.png,,Legacy,5,5,7
EPIXFINN,Resistance Hero Finn,1,Light Side,Attacker,Resistance,Counter|Critical Hit Immunity|AoE|Assist|Taunt|Dispel|Gain Turn Meter|Inspired,https://game-assets.swgoh.gg/textures/tex.charui_finn.png,,Legacy,5,5,7
EPIXPOE,Resistance Hero Poe,1,Light Side,Attacker,Resistance,Damage Over Time|Vulnerable|Stagger|Dispel|Stun|Daze|Inspired|Buff Immunity,https://game-assets.swgoh.gg/textures/tex.charui_poe_tros.png,,Legacy,5,5,6
EWOKELDER,Ewok Elder,1,Light Side,Healer,Ewok,Heal|Assist|Dispel|Gain Turn Meter|Revive,https://game-assets.swgoh.gg/textures/tex.charui_ewok_chief.png,,Legacy,4,5,6
EWOKSCOUT,Ewok Scout,1,Light Side,Attacker,Ewok,Remove Turn Meter|Gain Turn Meter|Assist,https://game-assets.swgoh.gg/textures/tex.charui_ewok_scout.png,,Legacy,8,8,9
EZRABRIDGERS3,Ezra Bridger,1,Light Side,Attacker,Jedi|Phoenix|Rebel,Counter|Bonus Attack|Defense Up|Protection Up|Assist|Reset Cooldown|Dispel|Gain Turn Meter,https://game-assets.swgoh.gg/textures/tex.charui_ezra_s3.png,PHANTOM2,Legacy,3,6,7
EZRAEXILE,Ezra Bridger (Exile),1,Light Side,Support,Jedi|Spectre,Bonus Turn|Heal|Health Steal Up|Foresight|Defense Up|Blind|Stagger|Dispel|+Speed|Buff Immunity|Instant Defeat Immunity|Offense Down|AoE|Assist|Healing Immunity|Resilient Defense|Ability Block|Tenacity Up|Bonus Attack|Protection Up|Speed Down|Stun|Riposte,https://game-assets.swgoh.gg/textures/tex.charui_ezraexile.png,,Conquest,7,9,10
FENNECSHAND,Fennec Shand,1,Dark Side,Attacker,Leader|Bounty Hunter|Mercenary|Scoundrel,Counter|+Max Health|Tenacity Up|Taunt|Dispel|Armor Shred|Gain Turn Meter|Offense Up|+Defense,https://game-assets.swgoh.gg/textures/tex.charui_fennec.png,,Legacy,7,7,7
FIFTHBROTHER,Fifth Brother,1,Dark Side,Support,Leader|Empire|Inquisitorius|Unaligned Force User,Bonus Turn|Vulnerable|Provoked|Defense Down|Remove Turn Meter|Gain Turn Meter|Damage Immunity|+Defense|Counter|Dispel|Potency Up|+Speed|Retribution|AoE|Expose|Purge|Tenacity Down|+Max Health|Fear|Protection Up|Stun|Breach,https://game-assets.swgoh.gg/textures/tex.charui_fifthbrother.png,SCYTHE,Legacy,5,8,8
FINN,Finn,1,Light Side,Tank,Leader|Resistance,Counter|+Max Health|Defense Up|Expose|Protection Up|Taunt|Dispel|Stun|+Speed|Gain Turn Meter|Retribution|Revive|Advantage|+Defense,https://game-assets.swgoh.gg/textures/tex.charui_finnjakku.png,MILLENNIUMFALCONEP7,Legacy,5,5,7
FIRSTORDEREXECUTIONER,First Order Executioner,1,Dark Side,Attacker,First Order,Counter|Health Up|Remove Turn Meter|Reset Cooldown|Dispel|Gain Turn Meter|Advantage,https://game-assets.swgoh.gg/textures/tex.charui_firstorder_executioner.png,,Legacy,5,5,5
FIRSTORDEROFFICERMALE,First Order Officer,1,Dark Side,Support,First Order,Tenacity Up|Remove Turn Meter|Dispel|Gain Turn Meter|Offense Up|Advantage,https://game-assets.swgoh.gg/textures/tex.charui_firstorderofficer.png,FIRSTORDERTIEECHELON,Legacy,5,6,7
FIRSTORDERSPECIALFORCESPILOT,First Order SF TIE Pilot,1,Dark Side,Attacker,First Order,AoE|Assist|Defense Down|Stun|Speed Up|Advantage,https://game-assets.swgoh.gg/textures/tex.charui_firstorder_pilot.png,TIEFIGHTERFOSF,Legacy,5,5,5
FIRSTORDERTIEPILOT,First Order TIE Pilot,1,Dark Side,Attacker,First Order,Bonus Turn|Counter|Bonus Attack|Foresight|Offense Down|+Speed|Gain Turn Meter|Buff Immunity|Advantage,https://game-assets.swgoh.gg/textures/tex.charui_firstordertiepilot.png,TIEFIGHTERFIRSTORDER,Legacy,5,5,5
FIRSTORDERTROOPER,First Order Stormtrooper,1,Dark Side,Tank,First Order,Counter|Defense Up|Assist|Taunt|Dispel|Speed Down|Gain Turn Meter|Advantage,https://game-assets.swgoh.gg/textures/tex.charui_firstordertrooper.png,COMMANDSHUTTLE,Legacy,5,5,7
FOSITHTROOPER,Sith Trooper,1,Dark Side,Attacker,First Order|Sith,Bonus Turn|Critical Hit Immunity|AoE|Assist|Reset Cooldown|Dispel|Stun|Advantage,https://game-assets.swgoh.gg/textures/tex.charui_firstorder_sithtrooper.png,TIEDAGGER,Legacy,6,7,8
FULCRUMAHSOKA,Ahsoka Tano (Fulcrum),1,Light Side,Attacker,Rebel|Spectre|Unaligned Force User,Counter|Damage Over Time|Foresight|Protection Up|Taunt|Dispel|+Speed|Gain Turn Meter|Retribution|Revive|Anti-Revive,https://game-assets.swgoh.gg/textures/tex.charui_ahsokaadult.png,,Legacy,6,9,9
GAMORREANGUARD,Gamorrean Guard,1,Dark Side,Tank,Hutt Cartel|Scoundrel,Counter|Damage Over Time|Defense Up|Expose|Assist|Protection Up|Remove Turn Meter|Taunt|Dispel|Thermal Detonator|Retribution|Damage Immunity,https://game-assets.swgoh.gg/textures/tex.charui_gamorreanguard.png,,Legacy,3,5,5
GARSAXON,Gar Saxon,1,Dark Side,Tank,Leader|Empire|Mandalorian,Counter|Reduce Cooldowns|AoE|Assist|Speed Down|+Defense,https://game-assets.swgoh.gg/textures/tex.charui_gar_saxon.png,GAUNTLETSTARFIGHTER,Legacy,5,5,7
GENERALHUX,General Hux,1,Dark Side,Support,Leader|First Order|Fleet Commander,Bonus Turn|Counter|AoE|Assist|Reset Cooldown|Dispel|Gain Turn Meter|Advantage,https://game-assets.swgoh.gg/textures/tex.charui_generalhux.png,CAPITALFINALIZER,Legacy,5,7,7
GENERALKENOBI,General Kenobi,1,Light Side,Tank,Leader|Galactic Republic|Jedi|Fleet Commander,Counter|+Max Health|Critical Hit Immunity|Foresight|Protection Up|Assist|Taunt|Dispel|Gain Turn Meter|Retribution|Offense Up|Advantage|Stealth|+Defense,https://game-assets.swgoh.gg/textures/tex.charui_obiwangeneral.png,CAPITALNEGOTIATOR,Legacy,8,9,9
GENERALSKYWALKER,General Skywalker,1,Light Side,Attacker,Leader|501st|Galactic Republic|Jedi,Bonus Turn|Counter|Reduce Cooldowns|AoE|Remove Turn Meter|Reset Cooldown|Taunt|Dispel|+Speed|Armor Shred|Daze|Gain Turn Meter|Revive|Anti-Revive,https://game-assets.swgoh.gg/textures/tex.charui_generalanakin.png,,Legacy,8,9,9
GENERALSYNDULLA,General Syndulla,1,Light Side,Support,Leader|New Republic|Spectre,Bonus Turn|Remove Turn Meter|Gain Turn Meter|Critical Damage Up|Damage Immunity|+Defense|Counter|Defense Up|Blind|Taunt|Dispel|+Speed|Fracture|Perfect Defense|Buff Immunity|AoE|Assist|Healing Immunity|Off Balance|+Max Health|Damage Over Time|Tenacity Up|Protection Up|Stun|Speed Up,https://game-assets.swgoh.gg/textures/tex.charui_generalsyndulla.png,,Apprentices,5,8,8
GEONOSIANBROODALPHA,Geonosian Brood Alpha,1,Dark Side,Support,Leader|Geonosian|Separatist,Counter|+Max Health|Summon|AoE|Assist|Expose|Remove Turn Meter|Offense Up|Dispel|Taunt|Gain Turn Meter|Critical Damage Up|Revive,https://game-assets.swgoh.gg/textures/tex.charui_geonosian_broodalpha.png,,Legacy,4,6,6
GEONOSIANSOLDIER,Geonosian Soldier,1,Dark Side,Attacker,Geonosian|Separatist,Tenacity Down|Gain Turn Meter|Assist,https://game-assets.swgoh.gg/textures/tex.charui_geonosian_soldier.png,GEONOSIANSTARFIGHTER2,Legacy,3,5,6
GEONOSIANSPY,Geonosian Spy,1,Dark Side,Attacker,Geonosian|Separatist,Counter|AoE|Expose|Dispel|Critical Chance Up|Potency Up|Evasion Down|Gain Turn Meter|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_geonosian_spy.png,GEONOSIANSTARFIGHTER3,Legacy,3,5,6
GLAHSOKATANO,Ahsoka Tano,1,Light Side,Tank,Leader|Galactic Legend|Spectre|Unaligned Force User,Bonus Turn|Remove Turn Meter|Gain Turn Meter|Damage Immunity|+Defense|Counter|Defense Up|Blind|Taunt|Dispel|+Speed|Armor Shred|Doubt|Perfect Defense|Relic Scaling|AoE|Resilient Defense|Daze|Ability Block|Off Balance|+Max Health|Tenacity Up|Protection Up|Reset Cooldown|Deflective Ward|Stun|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_ahsokatanogray.png,,Apprentices,9,10,10
GLHONDO,Pirate King Hondo Ohnaka,1,Dark Side,Support,Galactic Legend|Leader|Pirate|Scoundrel|Smuggler|Order 66 Raid,Bonus Turn|Remove Turn Meter|Gain Turn Meter|+Tenacity|Critical Damage Up|+Defense|Counter|Defense Up|Taunt|Dispel|+Speed|Profit|Relic Scaling|Revive|Reduce Cooldowns|AoE|Assist|Healing Immunity|Shock|Daze|Off Balance|+Max Health|Fear|Reset Cooldown|Stun|Speed Up|Offense Up|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_glhondo.png,,Piracy,9,9,10
GLLEIA,Leia Organa,1,Light Side,Tank,Galactic Legend|Leader|Rebel,Bonus Turn|Critical Chance Down|Vulnerable|Defense Down|Remove Turn Meter|Gain Turn Meter|Damage Immunity|+Defense|Counter|Foresight|Stagger|Taunt|Dispel|+Speed|Fracture|Relic Scaling|Buff Immunity|Retribution|Revive|AoE|Assist|Expose|Potency Down|Daze|Plague|Tenacity Down|+Max Health|Burning|Fear|Tenacity Up|Protection Up|Critical Damage Down|Stun|Healing|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_leiaendor.png,,Legacy,9,9,10
GLREY,Rey,1,Light Side,Attacker,Leader|Resistance|Galactic Legend|Unaligned Force User,Bonus Turn|+Max Health|Counter|Critical Hit Immunity|AoE|Dispel|Stun|+Speed|Gain Turn Meter|Inspired|Relic Scaling|Revive|Damage Immunity|Anti-Revive,https://game-assets.swgoh.gg/textures/tex.charui_rey_tros.png,,Legacy,8,10,10
GOPHERANTS,Grogu & Anzellans,1,Light Side,Healer,Mandalorian|New Republic|Unaligned Force User,Counter|Reduce Cooldowns|Tenacity Up|Defense Up|AoE|Deflective Ward|Taunt|Dispel|Stun|+Speed|Daze|Retaliate|Ability Block|Off Balance|Speed Up|Retribution|Stealth|Heal Over Time,https://game-assets.swgoh.gg/textures/tex.charui_groguanz.png,,New Republic,4,4,5
GRANDADMIRALTHRAWN,Grand Admiral Thrawn,1,Dark Side,Support,Leader|Empire|Fleet Commander,Bonus Turn|Counter|Defense Down|Remove Turn Meter|Dispel|Speed Down|+Speed|Fracture|Gain Turn Meter|Stun|Ability Block|Speed Up,https://game-assets.swgoh.gg/textures/tex.charui_thrawn.png,CAPITALCHIMAERA,Legacy,7,7,7
GRANDINQUISITOR,Grand Inquisitor,1,Dark Side,Attacker,Leader|Empire|Inquisitorius|Unaligned Force User,Bonus Turn|Vulnerable|Remove Turn Meter|Torture|Gain Turn Meter|Critical Damage Up|+Defense|Counter|Foresight|Taunt|Dispel|+Speed|Defense Penetration Up|Buff Immunity|Revive|Advantage|Anti-Revive|AoE|Purge|Ability Block|Instant Defeat|+Max Health|Tenacity Up|Bonus Attack|Protection Up|Reset Cooldown|Speed Up|Offense Up,https://game-assets.swgoh.gg/textures/tex.charui_grandinquisitor.png,SCYTHE,Legacy,7,8,8
GRANDMASTERLUKE,Jedi Master Luke Skywalker,1,Light Side,Tank,Galactic Legend|Leader|Jedi,Remove Turn Meter|Critical Chance Up|Gain Turn Meter|+Tenacity|Critical Damage Up|+Defense|Counter|Critical Hit Immunity|Defense Up|Taunt|Dispel|Jedi Lessons|+Speed|Relic Scaling|Buff Immunity|Advantage|Reduce Cooldowns|AoE|Assist|Expose|Daze|Ability Block|Tenacity Down|+Max Health|Tenacity Up|Reset Cooldown|Stun|Breach,https://game-assets.swgoh.gg/textures/tex.charui_luke_jml.png,,Legacy,8,9,9
GRANDMASTERYODA,Grand Master Yoda,1,Light Side,Support,Leader|Galactic Republic|Jedi,Bonus Turn|Tenacity Up|Foresight|AoE|Protection Up|Remove Turn Meter|Offense Up|Shock|Critical Chance Up|Potency Down|Defense Penetration Up|Gain Turn Meter|Stun|+Tenacity|Taunt|+Critical|Critical Damage Up|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_yodagrandmaster.png,,Legacy,8,8,8
GRANDMOFFTARKIN,Grand Moff Tarkin,1,Dark Side,Support,Leader|Empire|Fleet Commander|Order 66 Raid,Critical Chance Down|Defense Down|Remove Turn Meter|Gain Turn Meter|+Defense|Counter|Tactical Supremacy|Dispel|Potency Up|+Speed|Revive|Anti-Revive|Offense Down|AoE|Assist|Expose|Daze|+Max Health|Fear|Protection Up|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_tarkinadmiral.png,CAPITALSTARDESTROYER,Legacy,7,9,9
GREATMOTHERS,Great Mothers,1,Dark Side,Support,Leader|Nightsister,Bonus Turn|Vulnerable|Remove Turn Meter|Gain Turn Meter|Damage Immunity|+Defense|Counter|Foresight|Taunt|Dispel|+Speed|Defense Penetration Up|Instant Defeat Immunity|Revive|Anti-Revive|AoE|Assist|Ability Block|Tenacity Down|+Max Health|Damage Over Time|Fear|Reset Cooldown|Speed Down|Stun|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_greatmothers.png,,Legacy,7,7,8
GREEDO,Greedo,1,Dark Side,Attacker,Leader|Bounty Hunter|Hutt Cartel|Scoundrel,Counter|Bonus Attack|AoE|Remove Turn Meter|Dispel|Critical Chance Up|Potency Up|Stun|Gain Turn Meter|Thermal Detonator,https://game-assets.swgoh.gg/textures/tex.charui_greedo.png,,Legacy,6,6,6
GREEFKARGA,Greef Karga,1,Light Side,Support,Leader|Bounty Hunter|Scoundrel,Counter|Tenacity Up|Assist|Offense Up|Dispel|Critical Chance Up|Defense Penetration Up|Daze|Gain Turn Meter|+Critical|Retribution|Critical Damage Up|Stealth|Health Steal Up,https://game-assets.swgoh.gg/textures/tex.charui_greefkarga.png,,Legacy,5,7,7
GRIEVOUS,General Grievous,1,Dark Side,Attacker,Leader|Droid|Separatist|Fleet Commander,Bonus Turn|Counter|AoE|Healing Immunity|Remove Turn Meter|Reset Cooldown|Target Lock|Dispel|Stun|Gain Turn Meter|Marked|+Defense|Health Steal Up,https://game-assets.swgoh.gg/textures/tex.charui_grievous.png,CAPITALMALEVOLENCE,Legacy,7,7,7
GUNGANPHALANX,Gungan Phalanx,1,Light Side,Tank,Gungan,Vulnerable|Provoked|Defense Down|Remove Turn Meter|Gain Turn Meter|Protection Over Time|Counter|Foresight|Taunt|Dispel|Potency Up|Protection Disruption|AoE|Assist|Expose|Daze|Tenacity Down|Shield Up|Retaliate|Offense Up,https://game-assets.swgoh.gg/textures/tex.charui_gunganphalanx.png,,Legacy,5,7,8
HANSOLO,Han Solo,1,Light Side,Attacker,Mercenary|Rebel|Scoundrel|Smuggler,Bonus Turn|Counter|Remove Turn Meter|Taunt|Critical Chance Up|Stun|Gain Turn Meter|Evasion Up|Critical Damage Up,https://game-assets.swgoh.gg/textures/tex.charui_han.png,MILLENNIUMFALCON,Legacy,8,8,8
HERASYNDULLAS3,Hera Syndulla,1,Light Side,Support,Leader|Phoenix|Rebel,Counter|+Max Health|Reduce Cooldowns|Expose|Assist|Dispel|+Speed|Gain Turn Meter|Revive,https://game-assets.swgoh.gg/textures/tex.charui_hera_s3.png,GHOST,Legacy,4,7,7
HERMITYODA,Hermit Yoda,1,Light Side,Support,Jedi,Counter|Foresight|Assist|Heal|Healing Immunity|Reset Cooldown|Dispel|Gain Turn Meter|Stealth,https://game-assets.swgoh.gg/textures/tex.charui_yodahermit.png,,Legacy,5,7,7
HK47,HK-47,1,Dark Side,Attacker,Leader|Droid|Sith Empire,Bonus Turn|Counter|Fear|AoE|Protection Up|Reset Cooldown|Deathmark|Dispel|Gain Turn Meter|+Critical|Offense Up|Tenacity Down,https://game-assets.swgoh.gg/textures/tex.charui_hk47.png,,Legacy,5,7,7
HONDO,Hondo Ohnaka,1,Neutral,Support,Mercenary|Pirate|Scoundrel|Smuggler|Order 66 Raid,Bonus Turn|Counter|Foresight|Defense Up|AoE|Assist|Expose|Protection Up|Remove Turn Meter|Dispel|+Speed|Gain Turn Meter|Profit|Ransom|Ability Block|Buff Immunity,https://game-assets.swgoh.gg/textures/tex.charui_hondoohnaka.png,,Legacy,7,9,9
