source,BaseID,Name,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,updated
all,LOBOT,Lobot,640,224,108049,2406,25984,8615,32737,626,660,12,2026-07-31T20:31:00.624564+00:00
all,LOGRAY,Logray,5136,4789,41833,3652,13867,3220,36621,3132,103,6,2026-07-31T23:00:09.069510+00:00
all,LORDVADER,Lord Vader,146,170,338,464,2152,1578,37796,34975,32802,22929,2026-07-31T08:00:33.919047+00:00
all,LUKESKYWALKER,Luke Skywalker (Farmboy),38276,11182,107524,3221,23747,3670,3760,400,113,25,2026-07-31T19:30:11.237554+00:00
all,LUMINARAUNDULI,Luminara Unduli,4698,3724,8876,2780,85533,5967,10286,1838,306,10,2026-07-31T22:30:09.446051+00:00
all,LUTHENRAEL,Luthen Rael,4604,3959,8638,5668,26580,5458,19390,2118,951,206,2026-08-01T04:07:10.102469+00:00
all,MACEWINDU,Mace Windu,32548,29417,103400,25078,102617,23859,27216,5837,2933,366,2026-07-31T20:30:09.571024+00:00
all,MAGMATROOPER,Magmatrooper,3627,1973,4202,1013,38402,6908,5833,223,419,4,2026-07-31T19:31:05.604089+00:00
all,MAJORPARTAGAZ,Major Partagaz,16843,36015,6813,15084,7925,7661,3121,442,837,18,2026-08-01T00:30:43.822706+00:00
all,MARAJADESKYWALKER,Mara Jade Skywalker,0,0,0,0,0,0,0,0,0,0,2026-08-01T00:00:22.211738+00:00
all,MARAJADE,"Mara Jade, The Emperor's Hand",27661,10723,10690,4369,185005,28386,31600,4319,544,46,2026-08-01T07:37:41.112577+00:00
all,MARROK,Marrok,10821,2377,4848,1451,23739,11274,113855,11520,2620,74,2026-08-01T03:37:13.388496+00:00
all,MASTERQUIGON,Master Qui-Gon,8524,5094,8527,2609,63733,17555,53142,3784,35854,190,2026-08-01T04:07:27.897789+00:00
all,MAULS7,Maul,5175,4863,10563,5740,39346,11096,41458,19823,4656,192,2026-07-31T08:00:51.317392+00:00
all,MAULHATEFUELED,Maul (Hate-Fueled),3002,25932,1865,6279,1520,1893,5652,3561,6255,5004,2026-08-01T01:01:50.107182+00:00
all,MAZKANATA,Maz Kanata,914,784,2634,1666,11790,3105,17270,4019,2079,43,2026-08-01T02:07:45.035619+00:00
all,MERRIN,Merrin,46036,5399,11342,6789,35329,8861,26093,3225,254,21,2026-08-01T05:37:27.843785+00:00
all,MISSIONVAO,Mission Vao,5786,6211,48576,7992,31208,25118,6297,972,174,11,2026-07-31T12:00:28.839184+00:00
all,HUMANTHUG,Mob Enforcer,312,150,91873,3306,75439,2096,1088,233,32,1,2026-07-31T19:01:30.665444+00:00
all,MOFFGIDEONS1,Moff Gideon,11446,7027,14734,5089,54032,10038,37680,4225,665,7,2026-07-31T09:00:12.040973+00:00
all,MONMOTHMA,Mon Mothma,3041,1481,1483,553,170650,11490,30833,771,649,14,2026-07-31T09:01:19.113128+00:00
all,MORGANELSBETH,Morgan Elsbeth,7612,1934,6836,2254,30694,13238,107864,8943,2090,176,2026-08-01T03:37:59.675675+00:00
all,MOTHERTALZIN,Mother Talzin,6413,6366,67490,11151,39383,8795,13942,1582,342,61,2026-07-31T14:00:15.917663+00:00
all,NIGHTTROOPER,Night Trooper,2602,1802,4091,1841,38359,12204,92398,2867,10650,11,2026-08-01T04:07:10.117707+00:00
all,NIGHTSISTERACOLYTE,Nightsister Acolyte,3135,1711,70035,1954,10509,2241,3785,1942,160,2,2026-07-31T21:00:41.942227+00:00
all,NIGHTSISTERINITIATE,Nightsister Initiate,2525,1093,66962,1099,10607,2013,747,3132,796,2,2026-07-31T21:30:26.315694+00:00
all,NIGHTSISTERSPIRIT,Nightsister Spirit,2733,2102,53129,5193,37985,12567,16144,5295,976,196,2026-07-31T13:30:50.015086+00:00
all,NIGHTSISTERZOMBIE,Nightsister Zombie,6502,4886,66785,7391,42476,5684,7882,2160,589,7,2026-07-31T13:30:48.344690+00:00
all,NINTHSISTER,Ninth Sister,25213,18937,12727,6694,97766,25205,116038,8670,1913,72,2026-08-01T07:37:06.853855+00:00
all,NUTEGUNRAY,Nute Gunray,21232,4242,10284,2337,16491,1774,138751,15431,245,5,2026-07-31T23:00:24.901966+00:00
all,OLDBENKENOBI,Obi-Wan Kenobi (Old Ben),28363,22350,43426,7266,184161,13214,25461,2189,672,77,2026-07-31T22:01:03.517357+00:00
all,DAKA,Old Daka,5626,5870,60879,9746,47964,8474,14592,2242,1693,15,2026-07-31T19:30:31.093055+00:00
all,BADBATCHOMEGA,Omega,18035,4959,14525,2948,64898,18378,3054,422,599,6,2026-07-31T08:00:57.079412+00:00
all,OMEGAS3,Omega (Fugitive),18399,4250,16380,4023,32160,9927,8746,1892,849,32,2026-08-01T03:07:28.402590+00:00
all,PADAWANOBIWAN,Padawan Obi-Wan,8250,5741,9551,3175,66118,18878,53125,4956,36356,356,2026-08-01T04:07:29.330328+00:00
all,PADAWANSABINE,Padawan Sabine Wren,43259,7590,20868,3033,22624,5981,75357,9310,5177,251,2026-08-01T03:08:13.651926+00:00
all,PADMEAMIDALA,Padmé Amidala,3358,5141,19237,14530,40223,12480,15369,146700,3428,143,2026-07-31T10:30:53.254611+00:00
all,PAO,Pao,4690,2455,7016,1555,53922,8302,9652,352,601,3,2026-07-31T16:30:48.534429+00:00
all,PAPLOO,Paploo,7130,5610,45838,4968,17154,3447,31516,411,61,9,2026-07-31T23:00:40.781037+00:00
all,PAZVIZSLA,Paz Vizsla,12588,3527,5323,1668,18468,5661,121674,17368,9948,537,2026-08-01T04:37:54.649032+00:00
all,GLHONDO,Pirate King Hondo Ohnaka,5,10,39,61,205,183,4141,2896,28103,15604,2026-08-01T02:07:12.133471+00:00
all,PLOKOON,Plo Koon,4935,3439,25835,3386,45456,4108,7757,87748,1894,9,2026-07-31T19:01:50.109124+00:00
all,POE,Poe Dameron,1048,405,21836,387,174719,9080,15993,304,129,3,2026-07-31T23:00:25.515447+00:00
all,POGGLETHELESSER,Poggle the Lesser,28730,12034,77987,13368,38212,8108,8257,2811,152,15,2026-07-31T20:30:45.170833+00:00
all,PRINCESSKNEESAA,Princess Kneesaa,1184,869,2577,871,27364,7501,170918,3027,80,26,2026-08-01T05:07:48.143012+00:00
all,PRINCESSLEIA,Princess Leia,25294,14001,162328,13782,59421,9855,11206,755,115,23,2026-07-31T21:30:09.023578+00:00
all,QIRA,Qi'ra,2605,1543,3883,1032,57566,10014,5185,3106,80,6,2026-07-31T12:30:32.223066+00:00
all,QUEENAMIDALA,Queen Amidala,3099,2825,6941,4828,35009,8497,43881,11113,12085,600,2026-08-01T04:08:02.489401+00:00
all,QUIGONJINN,Qui-Gon Jinn,2707,2503,80674,9723,100057,8676,12600,1688,378,17,2026-07-31T19:31:03.001498+00:00
all,QUIGGOLD,Quiggold,1342,1452,1982,1901,37619,3984,14162,3153,2794,121,2026-08-01T02:08:00.417982+00:00
all,R2D2_LEGENDARY,R2-D2,27649,15421,9828,5514,7642,2177,38531,161278,9241,344,2026-07-31T16:30:08.729114+00:00
all,R5D4,R5-D4,1590,2457,797,5507,2000,355,510,322,1797,2,2026-08-01T00:30:24.833956+00:00
all,RANGETROOPER,Range Trooper,5893,3847,15203,3135,49139,3417,32870,2425,99,2,2026-07-31T12:01:05.612981+00:00
all,SCORCH,"RC-1262 ""Scorch""",926,1125,2195,1679,57694,16512,32834,9004,33455,557,2026-08-01T02:37:21.325705+00:00
all,HOTHLEIA,Rebel Officer Leia Organa,842,764,20498,11285,156771,32865,20688,8721,1066,15,2026-07-31T16:00:45.591108+00:00
all,EPIXFINN,Resistance Hero Finn,453,302,628,192,142806,23254,23674,1227,960,6,2026-07-31T10:00:13.082878+00:00
all,EPIXPOE,Resistance Hero Poe,364,242,484,140,148820,20567,20561,846,133,4,2026-07-31T10:00:13.123321+00:00
all,RESISTANCEPILOT,Resistance Pilot,270,139,57486,2610,115192,8174,14774,137,126,1,2026-07-31T19:30:31.282676+00:00
all,RESISTANCETROOPER,Resistance Trooper,439,259,284,165,166146,14927,6503,236,530,2,2026-07-31T21:30:41.557922+00:00
all,GLREY,Rey,68,96,279,398,1859,1858,56447,43622,25717,23597,2026-07-31T09:30:57.457400+00:00
all,DARKREY,Rey (Dark Side Vision),960,991,2657,2363,16783,7302,51817,20014,6688,356,2026-08-01T03:07:56.791718+00:00
all,REYJEDITRAINING,Rey (Jedi Training),2049,2456,9853,2923,4358,1627,201512,6862,1278,106,2026-07-31T13:00:58.852921+00:00
all,REY,Rey (Scavenger),3624,1988,23225,1780,36001,5210,110674,60843,462,12,2026-07-31T21:00:57.489512+00:00
all,ROSETICO,Rose Tico,368,222,305,114,159622,16124,13094,306,552,7,2026-07-31T13:00:44.299587+00:00
all,RACCOON,Rotta the Hutt,2163,8945,1228,15369,4491,290,310,806,516,1445,2026-08-01T00:30:05.673391+00:00
all,ROYALGUARD,Royal Guard,2909,1772,92047,10300,74075,12155,27143,3546,1390,28,2026-07-31T19:02:08.263731+00:00
all,SABINEWRENS3,Sabine Wren,58930,41474,117080,17494,50826,10355,4925,2682,190,28,2026-07-31T16:31:08.339003+00:00
all,SANASTARROS,Sana Starros,1157,688,1961,536,85688,32050,14881,2549,312,3,2026-08-01T06:07:55.718819+00:00
all,SATELESHAN,Satele Shan,828,647,1179,1738,5534,4527,18377,8694,10306,3100,2026-08-01T01:01:58.644208+00:00
all,SAVAGEOPRESS,Savage Opress,6751,6696,22806,9343,68212,17175,17531,3459,411,26,2026-07-31T21:30:56.294111+00:00
all,SAWGERRERA,Saw Gerrera,15026,7022,10770,3131,29489,11707,26801,1095,182,10,2026-08-01T05:37:11.948245+00:00
all,SCARIFREBEL,Scarif Rebel Pathfinder,11111,2923,8268,1979,48535,3282,8614,2641,566,2,2026-07-31T18:01:10.903345+00:00
all,SCOUTTROOPER_V3,Scout Trooper,5079,2187,2671,1236,12812,3776,165769,6588,339,7,2026-08-01T05:07:31.118046+00:00
all,SECONDSISTER,Second Sister,24084,14869,8270,3593,154397,32258,52910,5460,467,27,2026-08-01T07:37:14.962716+00:00
all,SEVENTHSISTER,Seventh Sister,33596,34380,17361,8634,83088,27984,120788,15089,3104,49,2026-08-01T07:08:03.825470+00:00
all,SHAAKTI,Shaak Ti,24207,17634,36144,14973,29411,9109,173406,9447,2187,28,2026-07-31T10:30:39.996775+00:00
all,SHINHATI,Shin Hati,9655,1963,6789,1389,20803,11939,101600,9921,1475,120,2026-08-01T03:37:25.307142+00:00
all,SHORETROOPER,Shoretrooper,7069,3756,10917,2941,45702,3579,34201,1170,186,8,2026-07-31T18:01:10.829145+00:00
all,SITHASSASSIN,Sith Assassin,1783,1376,2330,988,89417,8577,12435,5206,6742,23,2026-07-31T17:01:29.950667+00:00
all,SITHTROOPER,Sith Empire Trooper,5691,3908,10255,4992,31520,5519,97353,4556,1812,62,2026-07-31T17:01:29.826273+00:00
all,SITHPALPATINE,Sith Eternal Emperor,418,430,1212,1424,4974,3546,85398,53573,25973,6709,2026-07-31T09:00:39.819511+00:00
all,SITHMARAUDER,Sith Marauder,992,1015,2439,1233,12798,3156,190659,6496,2432,194,2026-07-31T13:00:28.820969+00:00
all,FOSITHTROOPER,Sith Trooper,545,476,7006,605,119200,23841,108521,9104,2605,198,2026-07-31T10:00:35.917624+00:00
all,UNDERCOVERLANDO,Skiff Guard (Lando Calrissian),991,310,711,201,122362,18662,30678,8951,1736,25,2026-08-01T06:40:30.911728+00:00
all,SM33,SM-33,855,835,2109,1424,5603,1991,13981,6337,13274,298,2026-08-01T02:37:22.543717+00:00
all,SNOWTROOPER,Snowtrooper,3733,2397,6804,1700,39851,6688,5778,2708,464,5,2026-07-31T22:30:26.161351+00:00
all,REMNANTSNOWCOMMANDER,Snowtrooper Commander,1861,2735,861,5796,2578,526,750,357,389,14,2026-08-01T00:00:23.779164+00:00
all,STAP,STAP,60553,7167,40294,4485,32502,13129,4758,3290,147,5,2026-08-01T04:37:07.914816+00:00
all,STARKILLER,Starkiller,5008,5745,12992,8780,50234,12691,45377,23291,10405,1335,2026-08-01T07:37:30.498657+00:00
all,LUKESTARKILLER,Starkiller (Luke Concept),0,0,0,0,0,0,0,0,0,0,2026-08-01T00:00:15.142841+00:00
all,STORMTROOPER,Stormtrooper,8190,3648,11609,2887,49112,3764,7996,1403,231,9,2026-07-31T20:00:09.354007+00:00
all,STORMTROOPERCONCEPT,Stormtrooper (Concept),0,0,0,0,0,0,0,0,0,0,2026-08-01T00:00:13.106117+00:00
all,STORMTROOPERHAN,Stormtrooper Han,40904,10980,11330,3043,25775,29461,7978,604,221,18,2026-07-31T23:31:00.049689+00:00
all,STORMTROOPERLUKE,Stormtrooper Luke,5501,8991,6530,7390,6733,27655,9701,1220,1212,33,2026-08-01T01:37:23.732993+00:00
all,SUNFAC,Sun Fac,26560,12725,78795,15782,42017,9441,9539,876,233,11,2026-07-31T23:30:08.593628+00:00
all,SUPREMELEADERKYLOREN,Supreme Leader Kylo Ren,67,103,421,532,2665,2753,69117,69546,42366,21722,2026-07-31T09:31:16.203833+00:00
all,T3_M4,T3-M4,17122,6662,26485,4587,94934,12351,16110,346,593,4,2026-07-31T12:00:47.283221+00:00
all,TALIA,Talia,3504,2396,66639,2812,19212,4178,4882,230,920,1,2026-07-31T23:30:27.166299+00:00
all,TARFFUL,Tarfful,4564,2732,5489,1370,23045,12957,20232,2610,166,32,2026-08-01T05:37:11.955368+00:00
all,TARONMALICOS,Taron Malicos,4767,4051,8150,4938,24153,13832,34477,13640,3401,363,2026-08-01T05:07:50.005282+00:00
all,BADBATCHTECH,Tech,8911,1887,3762,950,150040,15887,3817,1689,1064,17,2026-07-31T08:31:12.008573+00:00
all,TEEBO,Teebo,4765,3316,41480,3549,9962,2915,33307,265,25,1,2026-07-31T22:30:56.963563+00:00
all,VANGUARDTEMPLEGUARD,Temple Guard,916,1016,1413,978,60601,20101,28721,5972,13509,43,2026-08-01T02:37:07.107381+00:00
all,ARMORER,The Armorer,12126,6574,17143,4475,43487,19223,8216,1040,1229,9,2026-07-31T08:31:52.118748+00:00
all,THEMANDALORIAN,The Mandalorian,54127,42214,33192,14603,105040,18641,13720,4002,1347,5543,2026-07-31T09:30:58.501287+00:00
all,THEMANDALORIANBESKARARMOR,The Mandalorian (Beskar Armor),22736,15057,15504,8757,25303,4843,116343,33674,9685,742,2026-07-31T08:31:55.350680+00:00
all,THERONIN,The Ronin,0,0,0,0,0,0,0,0,0,0,2026-08-01T07:22:01.686341+00:00
all,STRANGER,The Stranger,605,506,1043,1314,6188,3153,22972,13636,11634,2647,2026-08-01T01:37:49.182046+00:00
all,THIRDSISTER,Third Sister,700,707,1303,1248,8382,3753,46949,22061,12392,477,2026-08-01T06:07:53.754565+00:00
all,C3POCHEWBACCA,Threepio & Chewie,14872,5703,9049,3229,49568,6951,174700,3069,462,41,2026-07-31T09:01:23.081324+00:00
all,TIEFIGHTERPILOT,TIE Fighter Pilot,1969,1206,1406,589,184779,5298,3535,2350,96,8,2026-07-31T17:30:58.469585+00:00
all,TUSKENCHIEFTAIN,Tusken Chieftain,2251,1654,4858,1356,70441,6721,14480,1717,71,3,2026-08-01T06:07:08.913183+00:00
all,TUSKENRAIDER,Tusken Raider,1205,869,1009,464,116110,2600,40652,14292,104,3,2026-07-31T19:30:48.984786+00:00
all,TUSKENSHAMAN,Tusken Shaman,2506,1688,4982,1332,72259,3307,11754,314,883,1,2026-07-31T18:30:41.572064+00:00
all,TUSKENHUNTRESS,Tusken Warrior,1917,1480,4696,1312,70282,9292,13316,2509,112,2,2026-08-01T05:37:43.644521+00:00
all,UGNAUGHT,Ugnaught,701,363,608,176,14504,11591,2046,224,115,17874,2026-07-31T20:00:28.698410+00:00
all,URORRURRR,URoRRuR'R'R,717,464,571,82090,80473,2391,12032,349,78,1,2026-07-31T21:30:25.071383+00:00
all,YOUNGCHEWBACCA,Vandor Chewbacca,6512,1834,7227,1330,45857,8722,6031,483,808,20,2026-07-31T12:30:45.819752+00:00
all,VANE,Vane,1358,1995,1741,2007,2168,425,32274,5957,16425,1145,2026-08-01T02:07:27.803519+00:00
all,VEL,Vel Sartha,15160,32114,5435,11328,5440,12013,6191,1026,1321,175,2026-08-01T01:01:10.531480+00:00
all,SMUGGLERCHEWBACCA,Veteran Smuggler Chewbacca,1106,689,58483,2902,71097,15930,58917,1865,647,2,2026-07-31T16:00:09.764204+00:00
all,SMUGGLERHAN,Veteran Smuggler Han Solo,717,542,113759,4044,107643,37619,4894,183,22,3,2026-07-31T16:00:09.792230+00:00
all,VISASMARR,Visas Marr,12486,5763,20962,5656,64379,14690,14470,1746,422,28,2026-07-31T12:31:05.508886+00:00
all,WAMPA,Wampa,714,601,55059,26142,123811,43362,39634,7878,2299,446,2026-07-31T13:30:09.203966+00:00
all,WATTAMBOR,Wat Tambor,1947,2030,3174,2046,11680,981,165348,4631,454,14,2026-07-31T10:30:13.822213+00:00
all,WEDGEANTILLES,Wedge Antilles,1833,1064,167554,8284,54792,8288,9171,1052,509,60,2026-07-31T18:30:25.641062+00:00
all,WICKET,Wicket,3117,3575,144877,8390,27411,3848,31315,1446,860,17,2026-07-31T21:00:27.299147+00:00
all,BADBATCHWRECKER,Wrecker,14017,2444,4981,1153,150520,16048,5151,885,312,7,2026-07-31T08:30:43.529770+00:00
all,WRECKERS3,Wrecker (Mercenary),16120,4016,13855,3513,35513,10189,8396,1868,1159,170,2026-08-01T02:37:59.681521+00:00
all,YODACHEWBACCA,Yoda & Chewie,4542,6299,4248,5406,4503,21843,11980,1122,1164,39,2026-08-01T01:37:07.453913+00:00
all,YODADSV,Yoda (Dark Side Vision),0,0,0,0,0,0,0,0,0,0,2026-08-01T00:00:15.165021+00:00
all,YOUNGHAN,Young Han Solo,2390,797,1634,428,22921,29421,8678,182,703,6,2026-07-31T12:30:48.434938+00:00
all,YOUNGLANDO,Young Lando Calrissian,2145,1127,2154,575,81658,21074,15689,198,143,1,2026-07-31T12:30:09.568586+00:00
all,ZAALBAR,Zaalbar,10035,7681,49068,9103,32115,24316,10005,3544,1004,69,2026-07-31T12:00:31.472965+00:00
all,ZAMWESELL,Zam Wesell,3185,2031,2787,1418,17451,1999,138228,14368,107,9,2026-07-31T18:02:13.625609+00:00
all,RANGERZEB,Zeb Orrelios (New Republic Pilot),1463,2022,743,4996,2117,411,690,278,519,22,2026-08-01T00:30:17.548799+00:00
all,ZORIIBLISS_V2,Zorii Bliss,8295,3598,18408,4085,45557,13604,13516,642,129,1,2026-08-01T06:07:28.743842+00:00
all,ZUCKUSS,Zuckuss,3409,3577,5181,3783,8799,2809,6759,858,2002,17,2026-08-01T01:37:36.908044+00:00
guilds_100,TRIPLEZERO,0-0-0,3,0,4,1,875,485,2705,425,413,7,2026-08-01T06:08:19.272791+00:00
guilds_100,4LOM,4-LOM,92,103,189,195,660,563,1616,370,838,3,2026-08-01T01:37:36.237558+00:00
guilds_100,50RT,50R-T,1,0,0,0,1134,1143,1517,658,432,21,2026-08-01T07:07:25.656780+00:00
guilds_100,AAYLASECURA,Aayla Secura,0,0,163,29,420,293,1146,1382,1498,0,2026-07-31T20:30:43.737519+00:00
guilds_100,ADMIRALACKBAR,Admiral Ackbar,0,0,980,183,959,698,857,1115,92,9,2026-07-31T22:30:57.891226+00:00
guilds_100,ADMIRALPIETT,Admiral Piett,0,0,0,0,1,0,0,1828,3015,112,2026-07-31T09:00:58.793788+00:00
guilds_100,ADMIRALRADDUS,Admiral Raddus,0,0,0,0,0,1,0,0,4875,91,2026-08-01T07:07:06.880022+00:00
guilds_100,TRENCH,Admiral Trench,93,66,157,102,654,564,2212,642,112,6,2026-08-01T06:07:13.429521+00:00
guilds_100,GLAHSOKATANO,Ahsoka Tano,0,0,0,0,0,0,11,31,1967,2927,2026-08-01T03:07:40.657095+00:00
guilds_100,FULCRUMAHSOKA,Ahsoka Tano (Fulcrum),2,0,2,1,4,3,1,0,4925,11,2026-07-31T16:01:02.929599+00:00
guilds_100,AHSOKATANO,Ahsoka Tano (Snips),0,0,1,0,5,1,4,4,4943,10,2026-07-31T18:30:53.483670+00:00
guilds_100,AMILYNHOLDO,Amilyn Holdo,0,0,0,0,3360,355,742,211,220,1,2026-07-31T13:00:27.713494+00:00
guilds_100,ARCTROOPER501ST,ARC Trooper,0,0,1,0,1,0,0,4916,27,0,2026-07-31T10:00:59.646175+00:00
guilds_100,ASAJVENTRESS,Asajj Ventress,1,0,4,0,1916,975,1306,557,132,0,2026-07-31T19:30:07.787865+00:00
guilds_100,ASAJJDARKDISCIPLE,Asajj Ventress (Dark Disciple),7,17,20,47,75,1669,1649,565,765,2,2026-08-01T01:37:05.774262+00:00
guilds_100,AURRA_SING,Aurra Sing,0,0,0,0,0,3851,391,423,69,0,2026-07-31T12:00:07.316171+00:00
guilds_100,B1BATTLEDROIDV2,B1 Battle Droid,5,4,150,287,2297,689,1106,235,99,1,2026-07-31T11:00:14.161558+00:00
guilds_100,B2SUPERBATTLEDROID,B2 Super Battle Droid,8,7,193,142,1475,861,1317,825,101,0,2026-07-31T23:30:25.787488+00:00
guilds_100,BARRISSOFFEE,Barriss Offee,1,0,1,0,688,512,1945,1103,688,17,2026-07-31T20:00:42.380058+00:00
guilds_100,BASTILASHAN,Bastila Shan,0,0,1,0,1,1,3536,901,517,7,2026-07-31T12:01:01.660702+00:00
guilds_100,BASTILASHANDARK,Bastila Shan (Fallen),8,5,57,57,802,957,2360,621,90,1,2026-07-31T11:00:53.585862+00:00
guilds_100,BATCHERS3,Batcher,53,25,148,57,1160,509,1759,758,320,1,2026-08-01T03:07:25.942395+00:00
guilds_100,BAYLANSKOLL,Baylan Skoll,1,10,9,18,71,60,1273,1398,1803,273,2026-08-01T03:37:06.419476+00:00
guilds_100,BAZEMALBUS,Baze Malbus,95,32,198,59,974,1023,1321,377,601,6,2026-07-31T17:30:39.610578+00:00
guilds_100,BB8,BB-8,0,0,0,0,1,0,4526,308,42,0,2026-07-31T14:00:19.677796+00:00
guilds_100,BENSOLO,Ben Solo,4,0,9,11,71,81,1009,1333,1793,630,2026-08-01T06:40:29.326983+00:00
guilds_100,BIGGSDARKLIGHTER,Biggs Darklighter,0,0,1186,205,2136,383,746,168,35,0,2026-07-31T22:00:57.854702+00:00
guilds_100,BISTAN,Bistan,0,0,0,0,3657,204,581,249,175,0,2026-07-31T17:30:41.811730+00:00
guilds_100,MANDALORBOKATAN,Bo-Katan (Mand'alor),0,1,1,1,6,2,1333,1689,1809,81,2026-08-01T04:37:26.534660+00:00
guilds_100,BOKATAN,Bo-Katan Kryze,0,0,0,0,1593,671,1385,460,829,3,2026-07-31T08:31:29.954072+00:00
guilds_100,BOBAFETT,Boba Fett,0,0,0,0,1,0,0,4373,594,4,2026-07-31T22:30:27.300469+00:00
guilds_100,BOBAFETTSCION,"Boba Fett, Scion of Jango",88,64,139,86,480,429,1500,770,1022,3,2026-07-31T08:00:07.928886+00:00
guilds_100,BODHIROOK,Bodhi Rook,355,131,434,119,1813,562,640,135,230,1,2026-07-31T16:30:28.666952+00:00
guilds_100,BOSSNASS,Boss Nass,4,1,5,1,544,326,1623,2163,265,7,2026-08-01T04:37:06.047157+00:00
guilds_100,BOSSK,Bossk,0,0,0,0,27,3,14,4133,770,12,2026-07-31T12:31:01.203333+00:00
guilds_100,BOUSHH,Boushh (Leia Organa),0,0,0,0,104,139,713,2133,1800,67,2026-08-01T06:39:13.189539+00:00
guilds_100,BRUTUS,Brutus,2,2,1,1,6,1,856,1097,2918,28,2026-08-01T02:07:29.611955+00:00
guilds_100,BT1,BT-1,6,0,3,0,720,315,2271,1092,478,25,2026-08-01T06:37:19.282486+00:00
guilds_100,C3POLEGENDARY,C-3PO,0,0,0,0,2,0,3357,1311,284,0,2026-07-31T11:00:33.559739+00:00
guilds_100,CADBANE,Cad Bane,0,0,0,0,1598,416,1596,1049,275,11,2026-07-31T21:00:59.204831+00:00
guilds_100,CALKESTIS,Cal Kestis,17,7,34,19,228,350,2859,1081,336,33,2026-08-01T05:37:40.191411+00:00
guilds_100,CANDEROUSORDO,Canderous Ordo,92,39,337,70,1735,341,975,1031,26,1,2026-07-31T11:30:06.763900+00:00
guilds_100,CARSONTEVA,Captain Carson Teva,107,217,90,780,328,103,243,97,254,5,2026-08-01T00:30:06.329318+00:00
guilds_100,CAPTAINDROGAN,Captain Drogan,0,0,0,1,0,1,343,1141,2985,465,2026-08-01T05:07:29.796398+00:00
guilds_100,CAPTAINENOCH,Captain Enoch,0,0,1,0,3,3,1795,659,2479,2,2026-08-01T03:37:42.251166+00:00
guilds_100,HOTHHAN,Captain Han Solo,0,0,3,0,3429,731,372,77,14,0,2026-07-31T16:00:27.781086+00:00
guilds_100,ITHANO,Captain Ithano,0,1,240,85,558,489,1961,877,685,5,2026-08-01T02:08:02.223110+00:00
guilds_100,PHASMA,Captain Phasma,0,0,0,0,2951,108,1642,97,19,0,2026-07-31T20:01:00.624288+00:00
guilds_100,CAPTAINREX,Captain Rex,1,0,0,0,1,0,2752,1897,308,5,2026-08-01T05:08:04.453932+00:00
guilds_100,CAPTAINSILVO,Captain Silvo,0,1,2,3,2,0,1236,1257,2391,19,2026-08-01T02:07:06.673165+00:00
guilds_100,CAPTAINTARPALS,Captain Tarpals,5,0,2,0,574,279,1534,2132,339,77,2026-08-01T04:08:13.169648+00:00
guilds_100,CARADUNE,Cara Dune,102,42,261,86,1603,775,1596,232,79,3,2026-07-31T09:30:26.010805+00:00
guilds_100,CARTHONASI,Carth Onasi,175,83,384,103,1792,957,651,104,19,0,2026-07-31T11:00:50.901941+00:00
guilds_100,CASSIANANDOR,Cassian Andor,0,0,0,0,1,0,0,3888,1061,4,2026-07-31T17:30:06.668026+00:00
guilds_100,CASSIANUNDERCOVER,Cassian Andor (Undercover),29,1148,32,2069,380,24,75,52,196,532,2026-08-01T00:30:34.061076+00:00
guilds_100,APPO,"CC-1119 ""Appo""",0,0,0,0,76,54,405,465,3874,75,2026-08-01T02:37:45.731652+00:00
guilds_100,CC2224,"CC-2224 ""Cody""",0,0,0,0,3650,226,659,96,20,1,2026-07-31T18:01:29.394431+00:00
guilds_100,CEREJUNDA,Cere Junda,0,0,1,1,1,5,3324,1404,208,11,2026-08-01T05:37:29.316517+00:00
guilds_100,CHEWBACCALEGENDARY,Chewbacca,0,0,1,0,0,545,2418,1567,403,6,2026-07-31T11:30:29.287565+00:00
guilds_100,CHIEFCHIRPA,Chief Chirpa,1,0,2121,107,715,172,956,571,9,0,2026-07-31T18:30:54.576581+00:00
guilds_100,CHIEFNEBIT,Chief Nebit,88,52,396,96,437,1348,1533,369,164,5,2026-07-31T18:01:53.874442+00:00
guilds_100,CHIRRUTIMWE,Chirrut Îmwe,2,0,0,0,1741,1150,1323,193,384,2,2026-07-31T17:30:26.270633+00:00
guilds_100,CHOPPERS3,Chopper,135,34,748,157,837,1151,483,1161,172,1,2026-07-31T17:01:10.093784+00:00
guilds_100,CINTA,Cinta Kaz,36,181,51,407,495,1251,1299,339,585,24,2026-08-01T01:01:03.976635+00:00
guilds_100,CLONESERGEANTPHASEI,Clone Sergeant - Phase I,0,0,0,0,3871,128,579,78,66,0,2026-07-31T23:00:39.764790+00:00
guilds_100,CLONEWARSCHEWBACCA,Clone Wars Chewbacca,209,57,188,33,196,347,297,34,2806,5,2026-07-31T20:00:43.655737+00:00
guilds_100,COBBVANTH,Cobb Vanth,25,23,50,101,176,560,1528,1214,569,106,2026-08-01T01:00:52.023916+00:00
guilds_100,COLONELSTARCK,Colonel Starck,0,0,1299,137,1842,310,568,525,143,1,2026-07-31T13:00:59.384973+00:00
guilds_100,BISHOP,Colonel Ward,106,205,85,760,327,92,207,72,214,0,2026-08-01T00:30:14.863866+00:00
