BaseID,Name,key_character,character_tier,relic_rec,notes,alignment,role,categories,ship
SABINEWRENS3,Sabine Wren,,,,,Light Side,Attacker,Mandalorian|Phoenix|Rebel,PHANTOM2
SANASTARROS,Sana Starros,,,,,Light Side,Attacker,Leader|Mercenary|Pirate|Scoundrel|Smuggler|Order 66 Raid,
SATELESHAN,Satele Shan,,,,,Light Side,Tank,Leader|Jedi|Old Republic,
SAVAGEOPRESS,Savage Opress,,,,,Dark Side,Attacker,Leader|Sith,
SAWGERRERA,Saw Gerrera,,,,,Light Side,Support,Leader|Rebel|Rebel Fighter,
SCARIFREBEL,Scarif Rebel Pathfinder,,,,,Light Side,Tank,Rebel|Rebel Fighter|Rogue One,UWINGSCARIF
SCOUTTROOPER_V3,Scout Trooper,,,,,Dark Side,Support,Empire|Imperial Remnant|Imperial Trooper,
SECONDSISTER,Second Sister,,,,,Dark Side,Attacker,Leader|Empire|Inquisitorius|Unaligned Force User,TIEINTERCEPTOR
SEVENTHSISTER,Seventh Sister,,,,,Dark Side,Healer,Leader|Empire|Inquisitorius|Unaligned Force User,
SHAAKTI,Shaak Ti,,,,,Light Side,Support,Leader|Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,
SHINHATI,Shin Hati,,,,,Dark Side,Attacker,Mercenary|Unaligned Force User,
SHORETROOPER,Shoretrooper,,,,,Dark Side,Tank,Empire|Imperial Trooper,TIEREAPER
SITHASSASSIN,Sith Assassin,,,,,Dark Side,Attacker,Sith|Sith Empire,SITHFIGHTER
SITHTROOPER,Sith Empire Trooper,,,,,Dark Side,Tank,Sith|Sith Empire,SITHSUPREMACYCLASS
SITHPALPATINE,Sith Eternal Emperor,,,,,Dark Side,Attacker,Leader|Galactic Legend|Sith,
SITHMARAUDER,Sith Marauder,,,,,Dark Side,Attacker,Sith|Sith Empire,SITHBOMBER
FOSITHTROOPER,Sith Trooper,,,,,Dark Side,Attacker,First Order|Sith,TIEDAGGER
UNDERCOVERLANDO,Skiff Guard (Lando Calrissian),,,,,Light Side,Attacker,Hutt Cartel|Scoundrel|Smuggler,
SNOWTROOPER,Snowtrooper,,,,,Dark Side,Attacker,Empire|Imperial Trooper,
STARKILLER,Starkiller,,,,,Dark Side,Attacker,Unaligned Force User,
STORMTROOPER,Stormtrooper,,,,,Dark Side,Tank,Empire|Imperial Remnant|Imperial Trooper,
STORMTROOPERHAN,Stormtrooper Han,,,,,Light Side,Tank,Leader|Rebel|Scoundrel,
STORMTROOPERLUKE,Stormtrooper Luke,,,,,Light Side,Support,Leader|Rebel,
SUNFAC,Sun Fac,,,,,Dark Side,Tank,Geonosian|Separatist,GEONOSIANSTARFIGHTER1
SUPREMELEADERKYLOREN,Supreme Leader Kylo Ren,,,,,Dark Side,Attacker,Leader|First Order|Galactic Legend|Unaligned Force User,
T3_M4,T3-M4,,,,,Light Side,Support,Droid|Old Republic,EBONHAWK
TIEFIGHTERPILOT,TIE Fighter Pilot,,,,,Dark Side,Attacker,Empire|Imperial Remnant,TIEFIGHTERIMPERIAL
TALIA,Talia,,,,,Dark Side,Healer,Leader|Nightsister,
TARFFUL,Tarfful,,,,,Light Side,Support,Leader|Wookiee,
TARONMALICOS,Taron Malicos,,,,,Dark Side,Attacker,Unaligned Force User,
BADBATCHTECH,Tech,,,,,Light Side,Support,Bad Batch|Clone Trooper|Galactic Republic,MARAUDER
TEEBO,Teebo,,,,,Light Side,Tank,Leader|Ewok,
VANGUARDTEMPLEGUARD,Temple Guard,,,,,Light Side,Tank,Galactic Republic|Jedi|Jedi Vanguard|Order 66 Raid,
ARMORER,The Armorer,,,,,Light Side,Support,Leader|Mandalorian,
THEMANDALORIAN,The Mandalorian,,,,,Light Side,Attacker,Leader|Bounty Hunter|Mandalorian|Scoundrel,
THEMANDALORIANBESKARARMOR,The Mandalorian (Beskar Armor),,,,,Light Side,Attacker,Leader|Mandalorian|Mercenary|Scoundrel,RAZORCREST
STRANGER,The Stranger,,,,,Dark Side,Attacker,Leader|Sith,
THIRDSISTER,Third Sister,,,,,Dark Side,Tank,Leader|Empire|Inquisitorius|Unaligned Force User,
C3POCHEWBACCA,Threepio & Chewie,,,,,Light Side,Attacker,Droid|Rebel|Wookiee,
TUSKENCHIEFTAIN,Tusken Chieftain,,,,,Dark Side,Support,Leader|Tusken,
TUSKENRAIDER,Tusken Raider,,,,,Dark Side,Attacker,Tusken,
TUSKENSHAMAN,Tusken Shaman,,,,,Dark Side,Healer,Tusken,
TUSKENHUNTRESS,Tusken Warrior,,,,,Dark Side,Attacker,Tusken,
URORRURRR,URoRRuR'R'R,,,,,Dark Side,Support,Leader|Tusken,
UGNAUGHT,Ugnaught,,,,,Light Side,Support,,
YOUNGCHEWBACCA,Vandor Chewbacca,,,,,Light Side,Tank,Mercenary|Scoundrel|Smuggler|Wookiee,
VANE,Vane,,,,,Dark Side,Tank,Pirate|Scoundrel|Order 66 Raid,
VEL,Vel Sartha,,,,,Light Side,Support,Rebel|Rebel Fighter,
SMUGGLERCHEWBACCA,Veteran Smuggler Chewbacca,,,,,Light Side,Attacker,Resistance|Scoundrel|Wookiee|Smuggler,
SMUGGLERHAN,Veteran Smuggler Han Solo,,,,,Light Side,Attacker,Mercenary|Resistance|Scoundrel|Smuggler,
VISASMARR,Visas Marr,,,,,Light Side,Healer,Unaligned Force User,
WAMPA,Wampa,,,,,Dark Side,Attacker,,
WATTAMBOR,Wat Tambor,,,,,Dark Side,Support,Separatist,
WEDGEANTILLES,Wedge Antilles,,,,,Light Side,Attacker,Leader|Rebel|Rebel Fighter,XWINGRED2
WICKET,Wicket,,,,,Light Side,Attacker,Ewok,
BADBATCHWRECKER,Wrecker,,,,,Light Side,Tank,Bad Batch|Clone Trooper|Galactic Republic,MARAUDER
WRECKERS3,Wrecker (Mercenary),,,,,Light Side,Tank,Bad Batch|Mercenary|Order 66 Raid,
YODACHEWBACCA,Yoda & Chewie,,,,,Light Side,Support,Galactic Republic|Jedi|Wookiee,
YOUNGHAN,Young Han Solo,,,,,Light Side,Attacker,Mercenary|Scoundrel|Smuggler,
YOUNGLANDO,Young Lando Calrissian,,,,,Light Side,Attacker,Mercenary|Scoundrel|Smuggler,MILLENNIUMFALCONPRISTINE
ZAALBAR,Zaalbar,,,,,Light Side,Tank,Mercenary|Old Republic|Scoundrel|Wookiee,
ZAMWESELL,Zam Wesell,,,,,Dark Side,Attacker,Leader|Bounty Hunter|Mercenary|Scoundrel,
ZORIIBLISS_V2,Zorii Bliss,,,,,Light Side,Support,Resistance|Scoundrel|Smuggler,COMEUPPANCE
ZUCKUSS,Zuckuss,,,,,Dark Side,Tank,Leader|Bounty Hunter|Scoundrel|Unaligned Force User,
